id	university	country_iso_num_code	wikipedia_url	established_year	page_id	namespace	title	is_redirect	is_new	touched	links_updated	latest	len	content_model	page_edits	creation	editors	views	references
1066	Univ Fed Rio de Janeiro	76.0	Universidade_Federal_do_Rio_de_Janeiro		886475	0	Federal_University_of_Rio_de_Janeiro	0	0	20210629135746	20210629140100.0	1031009334	122954	wikitext	604.0	2004-08-08	278.0	5073.0	210.0
1067	Univ São Paulo	76.0	Universidade_de_São_Paulo		561499	0	University_of_São_Paulo	0	0	20210630210229	20210630210758.0	1031295450	36033	wikitext	1231.0	2004-03-29	623.0	12343.0	41.0
1068	Simon Fraser Univ	124.0	Simon_Fraser_University	1965.0	28525	0	Simon_Fraser_University	0	0	20210626180530	20210623121310.0	1027798724	70064	wikitext	2628.0	2001-10-13	1145.0	42809.0	69.0
1069	Univ Calgary	124.0	University_of_Calgary	1966.0	89668	0	University_of_Calgary	0	0	20210629004224	20210629004710.0	1027610227	83688	wikitext	1981.0	2002-09-23	671.0	23376.0	109.0
1070	Univ Alberta	124.0	University_of_Alberta	1908.0	242057	0	University_of_Alberta	0	0	20210630002246	20210630003248.0	1031132231	117685	wikitext	2277.0	2003-06-08	812.0	30920.0	141.0
1071	Univ Guelph	124.0	University_of_Guelph	1964.0	9181362	0	University_of_Guelph	0	0	20210629202956	20210629203257.0	1031100407	57598	wikitext	1457.0	2003-10-17	644.0	21889.0	60.0
1072	Dalhousie Univ	124.0	Dalhousie_University	1818.0	8642	0	Dalhousie_University	0	0	20210629201832	20210629202328.0	1031098861	79685	wikitext	1518.0	2001-10-13	674.0	29622.0	135.0
1073	McMaster Univ	124.0	McMaster_University	1887.0	342555	0	McMaster_University	0	0	20210626180919	20210625072512.0	1030326543	124018	wikitext	3319.0	2003-10-17	1142.0	45435.0	214.0
1074	Queen's Univ	124.0	Queen's_University_at_Kingston		7955551	0	Queen's_University_at_Kingston	0	0	20210630193840	20210630194241.0	1031284385	122283	wikitext	3810.0	2001-10-13	1347.0	59231.0	187.0
1075	West Univ	124.0	University_of_Western_Ontario	1878.0	169136	0	University_of_Western_Ontario	0	0	20210629004224	20210629004512.0	1029227174	94449	wikitext	3199.0	2003-01-14	1164.0	34906.0	160.0
1076	McGill Univ	124.0	McGill_University	1821.0	7954643	0	McGill_University	0	0	20210630193303	20210630193311.0	1031283607	153182	wikitext	6078.0	2001-10-13	2078.0	113639.0	193.0
1077	Univ Montréal	124.0	Université_de_Montréal	1878.0	7955348	0	Université_de_Montréal	0	0	20210626183348	20210623125547.0	1027609262	51013	wikitext	984.0	2002-11-19	425.0	15737.0	53.0
1078	Carleton Univ	124.0	Carleton_University	1942.0	209134	0	Carleton_University	0	0	20210626180821	20210623122730.0	1029273468	103515	wikitext	3439.0	2003-04-12	1106.0	25322.0	152.0
1079	Univ Ottawa	124.0	University_of_Ottawa	1848.0	140699	0	University_of_Ottawa	0	0	20210630195534	20210630195752.0	1030852214	95172	wikitext	2285.0	2002-10-27	822.0	17825.0	159.0
1081	Univ Saskatchewan	124.0	University_of_Saskatchewan	1907.0	267686	0	University_of_Saskatchewan	0	0	20210629004225	20210629004415.0	1027611010	77226	wikitext	1064.0	2003-07-14	480.0	16407.0	28.0
1082	Univ Laval	124.0	Laval_University	1663.0	352708	0	Université_Laval	0	0	20210626180923	20210626181156.0	1027610875	23671	wikitext	917.0	2003-10-30	425.0	10504.0	13.0
1083	Univ Toronto	124.0	University_of_Toronto	1827.0	7955325	0	University_of_Toronto	0	0	20210626183348	20210624064620.0	1030157583	150911	wikitext	4865.0	2001-10-13	1593.0	83074.0	194.0
1084	Univ British Columbia	124.0	University_of_British_Columbia	1908.0	173411	0	University_of_British_Columbia	0	0	20210629135715	20210629135922.0	1030436911	119001	wikitext	4155.0	2003-01-23	1644.0	61669.0	156.0
1085	Univ Victoria	124.0	University_of_Victoria	1963.0	32098	0	University_of_Victoria	0	0	20210630195530	20210630195906.0	1030000510	115086	wikitext	1829.0	2001-10-14	818.0	21796.0	101.0
1086	Univ Waterloo	124.0	University_of_Waterloo	1956.0	73276	0	University_of_Waterloo	0	0	20210626180548	20210623121926.0	1027612950	130895	wikitext	3592.0	2002-08-19	1375.0	62326.0	209.0
1087	Univ Manitoba	124.0	University_of_Manitoba	1877.0	32099	0	University_of_Manitoba	0	0	20210626180531	20210626124607.0	1027611842	90207	wikitext	960.0	2001-10-14	438.0	18921.0	48.0
1088	Univ Chile	152.0	Universidad_de_Chile		545250	0	University_of_Chile	0	0	20210626181034	20210623125244.0	1025180922	33540	wikitext	554.0	2004-03-23	280.0	4427.0	12.0
1091	Chiba Univ	392.0	Chiba_University	1949.0	1328713	0	Chiba_University	0	0	20210701041635	20210701041744.0	1020667240	10007	wikitext	119.0	2004-12-26	89.0	2349.0	2.0
1092	Kyushu Univ	392.0	Kyushu_University	1903.0	299359	0	Kyushu_University	0	0	20210626212139	20210626213006.0	1029227573	51879	wikitext	528.0	2003-08-18	206.0	8862.0	21.0
1093	Gifu Univ	392.0	Gifu_University	1949.0	5853912	0	Gifu_University	0	0	20210626182940	20210626223305.0	1020676112	4706	wikitext	121.0	2006-07-06	44.0	1023.0	
1095	Hiroshima Univ	392.0	Hiroshima_University	1929.0	665262	0	Hiroshima_University	0	0	20210626181126	20210623125536.0	1028873366	7530	wikitext	98.0	2004-05-19	74.0	2288.0	1.0
1096	Kagoshima Univ	392.0	Kagoshima_University	1949.0	1633869	0	Kagoshima_University	0	0	20210626181738	20210623141507.0	947363893	3358	wikitext	52.0	2005-03-22	43.0	912.0	2.0
1097	Kanazawa Univ	392.0	Kanazawa_University	1949.0	11462647	0	Kanazawa_University	0	0	20210626183843	20210626194045.0	1024301628	13085	wikitext	92.0	2007-05-28	48.0	1873.0	1.0
1098	Kobe Univ	392.0	Kobe_University	1949.0	572330	0	Kobe_University	0	0	20210626181048	20210623140414.0	1025231522	22169	wikitext	213.0	2004-04-02	134.0	3008.0	13.0
1099	Kumamoto Univ	392.0	Kumamoto_University	1925.0	366536	0	Kumamoto_University	0	0	20210626180928	20210623143459.0	1025785474	11500	wikitext	115.0	2003-11-14	67.0	1295.0	6.0
1100	Kyoto Univ	392.0	Kyoto_University	1897.0	187911	0	Kyoto_University	0	0	20210627153117	20210627153620.0	1029226868	29494	wikitext	531.0	2003-02-24	317.0	17364.0	25.0
1101	Nagasaki Univ	392.0	Nagasaki_University	1949.0	6997129	0	Nagasaki_University	0	0	20210623124642	20210623134740.0	1024490288	7360	wikitext	54.0	2006-09-15	39.0	1186.0	2.0
1102	Nagoya Univ	392.0	Nagoya_University	1871.0	1340264	0	Nagoya_University	0	0	20210626212146	20210626212408.0	1029226117	25872	wikitext	271.0	2004-12-29	165.0	5622.0	4.0
1103	Niigata Univ	392.0	Niigata_University	1870.0	543771	0	Niigata_University	0	0	20210629084546	20210629084903.0	1031013648	8846	wikitext	77.0	2004-03-22	59.0	904.0	5.0
1104	Okayama Univ	392.0	Okayama_University	1870.0	12259956	0	Okayama_University	0	0	20210626184003	20210626204021.0	994905661	13271	wikitext	92.0	2007-07-15	62.0	1782.0	5.0
1105	Osaka City Univ	392.0	Osaka_City_University	1880.0	604496	0	Osaka_City_University	0	0	20210626212142	20210626231318.0	1028572019	13019	wikitext	119.0	2004-04-18	71.0	1301.0	2.0
1106	Osaka Univ	392.0	Osaka_University	1724.0	1098410	0	Osaka_University	0	0	20210628031033	20210628031234.0	1030799640	36033	wikitext	500.0	2004-10-24	216.0	10238.0	15.0
1107	Hokkaido Univ	392.0	Hokkaido_University	1876.0	357736	0	Hokkaido_University	0	0	20210626212140	20210626222843.0	1029226801	29869	wikitext	329.0	2003-11-06	185.0	7101.0	25.0
1108	Tohoku Univ	392.0	Tohoku_University	1907.0	573744	0	Tohoku_University	0	0	20210630195547	20210630195713.0	1029645517	36112	wikitext	468.0	2004-04-03	269.0	10279.0	13.0
1110	Tokushima Univ	392.0	University_of_Tokushima	1949.0	15696836	0	University_of_Tokushima	0	0	20210626184534	20210626215913.0	1001513069	3732	wikitext	48.0	2008-02-11	33.0	721.0	2.0
1111	Keio Univ	392.0	Keio_University	1858.0	376432	0	Keio_University	0	0	20210629071656	20210629072352.0	1031005057	99193	wikitext	1777.0	2003-11-23	604.0	25626.0	84.0
1112	Tokyo Inst Technol	392.0	Tokyo_Institute_of_Technology	1881.0	432607	0	Tokyo_Institute_of_Technology	0	0	20210629042531	20210629042814.0	1030988192	29731	wikitext	366.0	2004-01-16	224.0	9159.0	18.0
1113	Tokyo Med & Dent Univ	392.0	Tokyo_Medical_and_Dental_University	1928.0	2699428	0	Tokyo_Medical_and_Dental_University	0	0	20210626182152	20210623164028.0	1021871389	8314	wikitext	82.0	2005-09-18	55.0	1620.0	6.0
1114	Univ Tokyo	392.0	University_of_Tokyo	1877.0	166215	0	University_of_Tokyo	0	0	20210628070556	20210628070651.0	1030189935	48711	wikitext	1198.0	2003-01-07	660.0	42624.0	54.0
1115	Waseda Univ	392.0	Waseda_University	1882.0	376791	0	Waseda_University	0	0	20210626180932	20210623121804.0	1028330093	46918	wikitext	1432.0	2003-11-23	770.0	33810.0	29.0
1117	Mie Univ	392.0	Mie_University	1949.0	6026810	0	Mie_University	0	0	20210626183001	20210623131521.0	1020667627	5049	wikitext	65.0	2006-07-19	44.0	888.0	
1118	Univ Tsukuba	392.0	University_of_Tsukuba	1973.0	2080195	0	University_of_Tsukuba	0	0	20210626212150	20210626215011.0	1029970401	33217	wikitext	331.0	2005-06-20	188.0	8052.0	18.0
1121	Natl Auto Univ Mexico	484.0	Universidad_Nacional_Autónoma_de_México		145426	0	National_Autonomous_University_of_Mexico	0	0	20210626180743	20210624043548.0	1030143905	71278	wikitext	2006.0	2002-11-09	890.0	28662.0	63.0
1122	Univ Auckland	554.0	University_of_Auckland	1883.0	277456	0	University_of_Auckland	0	0	20210627045757	20210623123213.0	1028091903	75711	wikitext	1310.0	2003-07-26	618.0	17851.0	88.0
1123	Univ Otago	554.0	University_of_Otago	1869.0	98089	0	University_of_Otago	0	0	20210701002437	20210701002918.0	1031318635	59118	wikitext	1155.0	2002-10-02	497.0	16916.0	49.0
1124	Peking Univ	156.0	Peking_University	1898.0	72296	0	Peking_University	0	0	20210701023940	20210628071519.0	1030582964	67466	wikitext	2248.0	2002-08-16	776.0	39429.0	62.0
1125	Tsinghua Univ	156.0	Tsing_Hua_University		72595	0	Tsinghua_University	0	0	20210630140108	20210630140649.0	1031235252	105069	wikitext	2407.0	2002-08-16	862.0	64889.0	141.0
1126	Jilin Univ	156.0	Jilin_University	1946.0	919179	0	Jilin_University	0	0	20210626181308	20210623125921.0	1028816231	24267	wikitext	299.0	2004-08-22	144.0	4053.0	14.0
1127	Zhejiang Univ	156.0	Zhejiang_University	1897.0	340391	0	Zhejiang_University	0	0	20210626180918	20210623122824.0	1028806947	33887	wikitext	993.0	2003-10-14	411.0	15088.0	27.0
1128	Univ Sci & Technol China	156.0	University_of_Science_and_Technology_of_China	1958.0	919458	0	University_of_Science_and_Technology_of_China	0	0	20210626212144	20210626231402.0	1028810325	36630	wikitext	633.0	2004-08-22	300.0	11814.0	32.0
