watchers	created_at	assessment	author	editors	revisions	words	unique_references	url	minor_edits	characters	sections	references
0	2021-06-17		F.blanda1	12	21	187	1	https://it.wikipedia.org/wiki/King_Abdullah_University_of_Science_and_Technology	11	1239	2	1
0	2012-11-16		92.46.94.134	5	7	87	1	https://kk.wikipedia.org/wiki/Патша_Абдуллаһ_ғылым_және_технология_университеті	4	1093	3	1
0	2007-10-28		Ctande	19	25	108	1	https://no.wikipedia.org/wiki/King_Abdullah_University_of_Science_and_Technology	21	725	1	1
0	2009-02-24		Olaf.K.	28	34	97	1	https://pl.wikipedia.org/wiki/King_Abdullah_University_of_Science_and_Technology	25	721	2	1
0	2011-05-10		Александр в. марин	23	46	325	3	https://ru.wikipedia.org/wiki/Научно-технологический_университет_имени_короля_Абдаллы	19	4328	5	3
0	2008-01-23		81.233.69.170	22	31	36	1	https://sv.wikipedia.org/wiki/King_Abdullah_University_of_Science_and_Technology	20	245	2	1
0	2012-04-02		Skype87	18	31	623	6	https://uk.wikipedia.org/wiki/Науково-технологічний_університет_імені_короля_Абдалли	10	7962	7	6
0	2019-02-11		Tahir mq	4	7	35	3	https://ur.wikipedia.org/wiki/جامعہ_ملک_عبد_اللہ_برائے_سائنس_اور_ٹیکنالوجی	3	333	2	3
0	2009-07-11		吕天欣	49	105	36	14	https://zh.wikipedia.org/wiki/阿卜杜拉国王科技大学	38	4214	7	14
0	2004-08-31	C	Sewing	124	340	3028	9	https://en.wikipedia.org/wiki/Yeungnam_University	80	21117	19	9
0	2021-12-17	بداية	أبو هشام	3	23	2595	10	https://ar.wikipedia.org/wiki/جامعة_يونغنام	22	30531	19	10
0	2014-07-15		Jatlas	10	33	404	2	https://es.wikipedia.org/wiki/Universidad_Yeungnam	12	2528	5	2
0	2005-09-14		Kumatora	21	37	4	0	https://ja.wikipedia.org/wiki/嶺南大学校	23	963	6	0
0	2004-10-05		아흔~kowiki	130	397	657	20	https://ko.wikipedia.org/wiki/영남대학교	126	8049	29	29
0	2018-11-21		Gaudio	3	6	21	0	https://la.wikipedia.org/wiki/Universitas_Yeungnam	4	166	1	0
0	2015-01-03		Nurimaru	3	14	67	0	https://ru.wikipedia.org/wiki/Йоннамский_университет	2	879	0	0
0	2019-06-09		Isko1901	2	3	117	0	https://tl.wikipedia.org/wiki/Pamantasang_Yeungnam	1	853	0	0
0	2006-07-18		Charlotte1125	33	60	5	1	https://zh.wikipedia.org/wiki/嶺南大學_(韓國)	23	1018	4	1
0	2006-04-03	Stub	Shultz IV	148	327	656	18	https://en.wikipedia.org/wiki/University_of_Seoul	119	4569	19	22
0	2008-05-12		Hasec	16	25	146	1	https://de.wikipedia.org/wiki/Städtische_Universität_Seoul	18	1298	5	2
0	2014-06-21		Jatlas	10	25	181	0	https://es.wikipedia.org/wiki/Universidad_de_Seúl	6	1067	1	0
0	2012-05-11	???	Nouill	7	11	70	0	https://fr.wikipedia.org/wiki/Université_de_Séoul	9	497	3	0
0	2006-12-07		Hasec	28	46	11	0	https://ja.wikipedia.org/wiki/ソウル市立大学校	22	529	7	0
0	2006-05-29		정안영민	134	489	1743	46	https://ko.wikipedia.org/wiki/서울시립대학교	215	20221	43	47
0	2020-05-04		Tempo beul	3	4	67	0	https://nl.wikipedia.org/wiki/Universiteit_van_Seoul	2	479	1	0
0	2013-12-29		Felipe P	3	3	35	0	https://pt.wikipedia.org/wiki/Universidade_de_Seul	0	237	4	0
