id	University	university
1234	University of Nebraska, Lincoln	Univ Nebraska - Lincoln
1235	University of Arkansas for Medical Sciences, Little Rock	Univ Arkansas Med Sci - Little Rock
1237	University of California, Los Angeles	Univ California - Los Angeles
1238	University of Southern California	Univ South California
1239	University of Louisville	Univ Louisville
1240	Texas Tech University	Texas Tech Univ
1241	University of Wisconsin, Madison	Univ Wisconsin - Madison
1242	Kansas State University	Kansas State Univ
1243	Loyola University Chicago	Loyola Univ Chicago
1245	University of Miami	Univ Miami
1246	Medical College of Wisconsin	Med Coll Wisconsin
1247	University of Minnesota, Twin Cities	Univ Minnesota - Twin Cities
1248	West Virginia University	W Virginia Univ
1249	Vanderbilt University	Vanderbilt Univ
1251	Yale University	Yale Univ
1253	Tulane University	Tulane Univ
1255	Columbia University	Columbia Univ
1258	Icahn School of Medicine, Mount Sinai	Icahn Sch Med - Mt Sinai
1260	New York University	NYU
1261	Rockefeller University	Rockefeller Univ
1262	Yeshiva University	Yeshiva Univ
1263	University of Delaware	Univ Delaware
1265	University of Oklahoma	Univ Oklahoma
1266	University of Notre Dame	Univ Notre Dame
1269	California Institute of Technology	Caltech
1270	Temple University	Temple Univ
1271	Thomas Jefferson University	Thomas Jefferson Univ
1272	University of Pennsylvania	Univ Penn
1274	Carnegie Mellon University	Carnegie Mellon Univ
1275	University of Pittsburgh	Univ Pittsburgh
1276	Oregon Health & Science University	Oregon Hlth & Sci Univ
1277	Princeton University	Princeton Univ
1278	Brown University	Brown Univ
1279	Brigham Young University	Brigham Young Univ
1280	Washington State University	Washington State Univ
1281	North Carolina State University	N Carolina State Univ
1282	University of Nevada, Reno	Univ Nevada - Reno
1283	Virginia Commonwealth University	Virginia Commonwealth Univ
1284	University of California, Riverside	Univ California - Riverside
1285	University of Rochester	Univ Rochester
1286	University of Utah	Univ Utah
1287	University of Texas at San Antonio	Univ Texas - San Antonio
1288	University of California, San Diego	Univ California - San Diego
1289	University of California, San Francisco	Univ California - San Francisco
1290	University of California, Santa Barbara	Univ California - Santa Barbara
1291	University of California, Santa Cruz	Univ California - Santa Cruz
1292	University of Washington, Seattle	Univ Washington - Seattle
1293	St Louis University	St Louis Univ
1294	Washington University in St. Louis	Washington Univ St Louis
1296	Stanford University	Stanford Univ
1297	Oklahoma State University, Stillwater	Oklahoma State Univ - Stillwater
1298	Stony Brook University, The State University of New York	Stony Brook Univ - SUNY
1299	University of Connecticut	Univ Connecticut
1300	Syracuse University	Syracuse Univ
1301	Florida State University	Florida State Univ
1302	University of South Florida, Tampa	Univ S Florida - Tampa
1303	Arizona State University	Arizona State Univ
1304	Rensselaer Polytechnic Institute	Rensselaer Polytech Inst
1305	University of Arizona	Univ Arizona
1306	University of Alabama, Tuscaloosa	Univ Alabama - Tuscaloosa
1307	Pennsylvania State University	Penn State Univ
1308	University of Illinois, Urbana-Champaign	Univ Illinois - Urbana-Champaign
1309	George Washington University	George Washington Univ
1310	Georgetown University	Georgetown Univ
1311	Wake Forest University	Wake Forest Univ
1312	University of Massachusetts Medical School	Univ Massachusetts Med Sch
1315	Medical University of Graz	Med Univ Graz
1316	Medical University of Innsbruck	Med Univ Innsbruck
1317	Medical University of Vienna	Med Univ Vienna
1318	Brandeis University	Brandeis Univ
1335	Griffith University	Griffith Univ
1336	RMIT University	RMIT Univ
1337	University of South Australia	Univ S Australia
1338	University of Technology, Sydney	Univ Technol - Sydney
1339	Flinders University	Flinders Univ
1349	Alexandria University	Alexandria Univ
1363	Universiti Sains Malaysia	Univ Sains Malaysia
1364	University of Guadalajara	Univ Guadalajara
1371	HSE University	HSE Univ
1373	King Abdulaziz University	King Abdulaziz Univ
1374	King Saud University	King Saud Univ
