grid_id	(No column name)
grid.430857.d	1
grid.455243.1	2
grid.431610.1	31
grid.465962.a	2
grid.454363.3	20
grid.510462.4	11
grid.424013.0	6
grid.453590.e	5
grid.416201.0	1199
grid.470062.7	14
grid.418928.e	66
grid.474185.b	178
grid.482511.b	7
grid.442753.3	28
grid.503331.7	442
grid.454315.2	115
grid.454303.5	691
grid.458469.2	1370
grid.36020.37	784
grid.238667.e	20
grid.458745.f	1
grid.505778.8	1
grid.440126.5	9
grid.425631.7	15
grid.466535.7	31
grid.493623.9	5
grid.413193.d	19
grid.469691.5	5
grid.417750.0	24
grid.416332.1	183
grid.440582.f	29
grid.417120.1	38
grid.487266.9	7
grid.510907.a	3
grid.425140.6	479
grid.413342.3	256
grid.413390.c	811
grid.411313.5	124
grid.417882.0	200
grid.433815.8	109
grid.422651.6	1
grid.489403.2	1
grid.418822.5	83
grid.425870.c	27
grid.508267.e	12
grid.467249.a	44
grid.422388.7	2
grid.499475.2	1
grid.512306.3	88
grid.440821.b	386
grid.414070.6	58
grid.509937.1	84
grid.426756.4	5
grid.427454.4	10
grid.281386.6	1218
grid.482505.e	177
grid.448388.b	2
grid.442789.4	25
grid.415563.0	25
grid.494543.b	57
grid.482903.4	7
grid.424384.d	2
grid.446509.a	1
grid.449602.d	120
grid.493888.6	13
grid.491382.5	11
grid.473586.b	35
grid.490371.8	6
grid.503047.5	8
grid.428143.8	14
grid.423930.f	315
grid.494510.d	303
grid.465076.6	73
grid.278167.d	574
grid.477770.4	40
grid.507824.c	1
grid.468658.1	1
grid.490305.b	4
grid.468679.2	1
grid.502769.f	4
grid.419453.e	1
grid.469934.5	1
grid.477327.2	4
grid.450261.4	2
grid.454361.1	26
grid.27567.31	1
grid.451150.4	5
grid.490085.0	4
grid.462649.b	142
grid.427987.7	21
grid.441139.a	18
grid.434094.e	2
grid.508423.8	8
grid.477636.7	26
grid.415789.6	373
grid.419549.4	107
grid.511339.c	20
grid.474235.3	81
grid.276809.2	573
grid.488947.e	26
grid.483597.4	4
grid.430915.a	1
grid.433174.6	11
grid.498672.6	13
grid.430760.6	9
grid.498950.9	3
grid.448143.e	2
grid.505386.d	1
grid.492611.9	14
grid.434823.a	61
grid.425702.6	3
grid.456275.7	4
grid.451732.6	17
grid.491169.2	3
grid.424537.3	1235
grid.471814.f	59
grid.452059.f	14
grid.490890.c	9
grid.419858.9	110
grid.501855.c	16
grid.469851.7	65
grid.421173.2	7
grid.449060.f	88
grid.415887.7	857
grid.440697.8	636
grid.440937.d	157
grid.418452.e	3
grid.491226.a	6
grid.450769.9	1
grid.430705.5	2
grid.416794.9	105
grid.443570.1	13
grid.444589.0	9
grid.442772.0	3
grid.499216.1	3
grid.469540.a	17
grid.412567.3	250
grid.416110.3	69
grid.452452.0	596
grid.511645.2	13
grid.462016.7	5
grid.421680.9	51
grid.497050.f	6
grid.494741.b	5
grid.447360.2	1
grid.507326.5	25
grid.511316.1	16
grid.504802.b	2
grid.471302.3	4
grid.431649.d	1
grid.478090.2	3
grid.4714.6	27509
grid.509951.1	122
grid.410696.c	901
grid.411733.3	1134
grid.41719.3a	564
grid.264755.7	305
grid.507521.4	2
grid.428916.0	1
grid.472273.7	1
grid.446610.1	2
grid.511658.e	6
grid.449335.c	6
grid.438175.c	1
grid.445704.6	7
grid.464464.0	4
grid.439014.b	4
grid.419681.3	4914
grid.156122.3	41
grid.463353.4	30
grid.472845.8	57
grid.425250.4	15
grid.462921.a	13
grid.469393.2	219
grid.450267.2	888
grid.443770.3	105
grid.444061.3	137
grid.5650.6	13824
grid.503290.d	124
grid.465709.9	4
grid.509708.3	1
grid.456068.9	2
grid.510327.2	17
grid.510842.a	8
grid.456613.3	9
grid.494401.c	2
grid.419929.e	1
grid.492058.2	1
grid.473832.9	16
grid.280577.f	16
grid.497058.7	26
grid.413137.3	16
grid.444433.0	13
grid.488295.a	62
grid.506499.7	25
grid.498648.f	54
grid.419282.4	42
grid.478150.f	30
grid.487538.5	2
grid.488934.a	15
grid.445991.4	23
grid.462644.6	471
grid.55614.33	3854
grid.8752.8	3141
grid.421470.4	326
grid.440473.0	1402
grid.504135.6	1
grid.420478.d	52
grid.488553.7	21
grid.464996.0	3
grid.511496.e	2
grid.464017.0	4
grid.447070.0	1
grid.7759.c	3402
grid.494225.c	4
grid.410516.7	34
grid.458448.1	128
grid.511808.5	27
grid.423783.9	39
grid.416142.4	47
grid.448813.2	90
grid.420114.2	298
grid.256885.4	2869
grid.491908.d	9
grid.460016.5	96
grid.502672.4	1
grid.438094.2	1
grid.469774.f	2
grid.435313.3	1
grid.439413.8	3
grid.478066.b	1
grid.484796.0	1
grid.466022.4	1
grid.257411.4	38
grid.495258.7	166
grid.495687.1	10
grid.434710.5	5
grid.477965.e	3
grid.472343.5	11
grid.419433.8	282
grid.414565.7	103
grid.495953.7	15
grid.461212.2	7
grid.436726.2	12
grid.505905.c	15
grid.463459.9	12
grid.465044.7	4
grid.437688.6	3
grid.505041.5	1
grid.454371.0	21
grid.459567.c	47
grid.449013.b	84
grid.509224.8	22
grid.509928.f	22
grid.412206.3	443
grid.512531.1	8
grid.499933.d	4
grid.457233.4	9
grid.261593.a	406
grid.258533.a	335
grid.427236.6	68
grid.461656.6	499
grid.264758.a	458
grid.36076.34	540
grid.421818.6	5
grid.461859.7	1
grid.490432.8	1
grid.449107.f	34
grid.410865.e	51
grid.481215.b	2
grid.510228.c	10
grid.476262.3	6
grid.464942.9	1
grid.439418.3	72
grid.481716.d	16
grid.477071.2	33
grid.450714.3	25
grid.424314.4	14
grid.437865.b	39
grid.417436.3	8
grid.512710.0	15
grid.467101.5	45
grid.452129.9	69
grid.412385.9	114
grid.477692.9	14
grid.416491.f	231
grid.463756.5	136
grid.449052.e	89
grid.435146.1	128
grid.464705.4	56
grid.415121.2	234
grid.511070.2	1
grid.444386.9	28
grid.436006.7	7
grid.479826.6	13
grid.428162.b	1
grid.503956.c	3
grid.496966.2	1
grid.416800.b	36
grid.445797.c	169
grid.462519.d	26
grid.479916.4	15
grid.492982.c	11
grid.460733.5	13
grid.411021.7	991
grid.470222.1	1557
grid.259092.5	192
grid.454164.6	949
grid.256868.7	403
grid.460175.1	112
grid.419367.e	103
grid.498477.1	115
grid.264307.4	368
grid.466223.7	52
grid.444265.5	97
grid.455811.c	8
grid.458946.2	1
grid.503915.b	2
grid.465735.6	4
grid.449796.1	1
grid.447031.5	1
grid.441998.9	47
grid.508127.9	12
grid.292544.c	9
grid.477940.9	13
grid.455632.3	17
grid.501831.e	1
grid.283003.a	68
grid.438677.9	3
grid.477152.2	10
grid.464836.b	26
grid.466235.0	21
grid.464061.1	13
grid.416475.5	29
grid.452594.b	11
grid.413835.8	84
grid.452929.1	542
grid.462618.f	35
grid.414208.b	203
grid.434903.9	1
grid.437595.9	2
grid.458985.d	26
grid.471200.0	6
grid.420769.e	18
grid.503211.4	11
grid.447066.7	4
grid.480925.2	3
grid.462508.d	6
grid.493304.9	38
grid.437995.5	26
grid.511638.8	9
grid.425253.7	39
grid.497340.d	3
grid.240684.c	7443
grid.427164.2	12
grid.445909.5	165
grid.463214.6	18
grid.477238.d	44
grid.459998.0	33
grid.293256.9	2
grid.448259.6	6
grid.471282.a	3
grid.435831.8	2
grid.427788.6	1099
grid.512661.7	65
grid.512409.b	69
grid.505113.3	21
grid.493509.2	117
grid.440535.3	1088
grid.289748.8	29
grid.418733.a	5
grid.452764.6	10
grid.437765.4	5
grid.427891.1	2
grid.448490.5	9
grid.445434.6	1539
grid.442934.c	170
grid.460218.9	17
grid.494448.1	74
grid.452492.c	20
grid.490669.4	2
grid.441688.7	31
grid.466932.c	60
grid.452514.3	125
grid.6901.e	1764
grid.509500.9	260
grid.280326.d	81
grid.498815.9	16
grid.452952.d	24
grid.428032.f	1
grid.455289.7	2
grid.454960.a	1
grid.417487.9	1
grid.427930.b	28
grid.473322.3	43
grid.474618.8	6
grid.440797.9	50
grid.469091.3	13
grid.508578.7	2
grid.497529.4	114
grid.460359.d	193
grid.424885.7	631
grid.413853.8	32
grid.500475.3	49
grid.440295.e	43
grid.470886.5	7
grid.495114.c	1
grid.439195.3	1
grid.458382.0	6
grid.426822.8	2
grid.426321.0	8
grid.420322.5	29
grid.475697.e	7
grid.472171.6	1
grid.502589.3	2
grid.474036.2	1
grid.509494.5	583
grid.16008.3f	4464
grid.462937.d	279
grid.458540.8	111
grid.478543.9	4
grid.433187.a	97
grid.505454.5	1
grid.448487.3	4
grid.511014.0	3
grid.504843.e	1
grid.438730.b	1
grid.471163.6	1
grid.448896.f	30
grid.492891.f	56
grid.462443.3	1
grid.463999.8	7
grid.470939.0	5
grid.451182.b	1
grid.255272.5	1636
grid.418942.2	110
grid.433402.2	220
grid.440641.3	821
grid.503094.b	134
grid.444131.7	29
grid.453895.6	1
grid.478703.f	1
grid.414345.3	1
grid.476997.2	1
grid.478283.2	1
grid.493357.f	6
grid.299629.f	19
grid.462175.3	13
grid.462115.5	10
grid.503694.d	3
grid.427057.3	1
grid.410768.c	149
grid.443073.7	273
grid.203581.d	317
grid.496723.d	45
grid.441055.1	32
grid.510755.3	104
grid.492900.6	2
grid.474141.3	17
grid.423687.c	2
grid.413831.c	2
grid.422773.7	1
grid.411975.f	2885
grid.420173.3	175
grid.4347.4	69
grid.508488.9	2
grid.454409.8	2
grid.439363.8	1
grid.453388.1	10
grid.459806.6	13
grid.470761.3	5
grid.488740.7	2
grid.432883.6	4
grid.510518.8	4
grid.486750.8	1
grid.438335.a	98
grid.508722.a	8
grid.513019.f	16
grid.420441.7	3
grid.509267.f	5
grid.441437.1	122
grid.508062.9	387
grid.447856.c	7
grid.78797.36	30
grid.420245.5	58
grid.444622.2	33
grid.438160.8	1
grid.427522.4	3
grid.464096.9	1
grid.425882.1	1
grid.484157.b	2
grid.419327.a	215
grid.511453.7	34
grid.486805.7	21
grid.445114.1	16
grid.474572.7	9
grid.460377.1	4
grid.33489.35	9774
grid.426424.2	554
grid.423527.5	275
grid.448929.a	229
grid.452449.a	1022
grid.445665.0	2014
grid.455295.a	1
grid.504831.b	1
grid.447612.2	1
grid.487740.8	4
grid.447781.9	11
grid.434796.b	5
grid.488705.6	6
grid.424233.0	1
grid.425588.6	1
grid.438782.2	143
grid.506259.d	1
grid.436534.3	4
grid.435207.7	22
grid.478040.f	3
grid.471340.5	8
grid.268257.c	349
grid.12082.39	7418
grid.511126.0	238
grid.462144.1	19
grid.414796.9	256
grid.413863.b	9
grid.462680.e	276
grid.444477.0	463
grid.446037.2	426
grid.470206.7	1484
grid.484638.5	49
grid.416427.2	60
grid.495362.f	2
grid.451916.e	10
grid.511654.2	2
grid.455672.7	6
grid.493014.b	7
grid.457941.a	1
grid.496033.b	3
grid.482568.5	333
grid.436696.8	42
grid.473901.8	32
grid.512186.9	37
grid.476282.d	6
grid.489969.3	6
grid.413196.8	323
grid.21678.3a	1560
grid.469819.b	235
grid.415362.7	92
grid.445601.2	43
grid.454838.6	26
grid.441402.7	1
grid.434665.6	15
grid.421289.4	1
grid.508815.1	1
grid.456684.d	1
grid.507912.8	2
grid.489105.1	1
grid.504806.f	5
grid.481159.0	1
grid.466438.b	5
grid.457610.1	11
grid.444032.5	18
grid.504554.5	3
grid.444149.8	103
grid.488364.5	10
grid.444780.b	11
grid.483718.1	3
grid.479497.0	27
grid.445338.d	6
grid.416346.2	366
grid.477560.7	45
grid.119021.a	1151
grid.467484.d	1
grid.419787.4	173
grid.509327.a	15
grid.423293.d	2
grid.492011.f	2
grid.422437.4	1
grid.505975.b	1
grid.475073.2	1
grid.423721.1	1
grid.473820.a	55
grid.462351.7	6
grid.504167.1	6
grid.414119.8	7
grid.432357.4	4
grid.454577.0	2
grid.414568.a	76
grid.426419.c	10
grid.452603.6	5
grid.447804.b	76
grid.476187.b	4
grid.468031.8	5
grid.482292.7	6
grid.452150.7	28
grid.426273.6	2
grid.506018.a	57
grid.413627.5	28
grid.413521.0	83
grid.413736.4	40
grid.470021.0	63
grid.457980.7	12
grid.413721.2	548
grid.451387.c	132
grid.511399.6	128
grid.480233.e	1
grid.476445.0	3
grid.495592.6	16
grid.459891.8	11
grid.468119.3	2
grid.491576.8	16
grid.432756.1	1
grid.476263.2	4
grid.441800.9	55
grid.433455.0	8
grid.460877.a	19
grid.464266.4	14
grid.499520.3	12
grid.476066.5	9
grid.512453.4	48
grid.415335.5	403
grid.414554.5	175
grid.419309.6	574
grid.462829.3	177
grid.462004.4	271
grid.488373.3	1
