id	grid_id	short_name	full_name	Country	impact_P	impact_P_Bio_Health	impact_P_Life_Earth	impact_P_Math_Comp	impact_P_Phy_Eng	impact_P_Soc_Hum	P_top10	collab_P	P_int_collab	P_OA	TCS	TNCS	P_industry_collab	PA_F_MF	dimensions_wos
112	grid.10825.3e	Univ South Denmark	University of Southern Denmark	Denmark	11023	7613	744	493	1011	1162	1601.0	11023	6915.0	7323.0	108963.0	15948.0	808.0	35.8	79,216
117	grid.10939.32	Univ Tartu	University of Tartu	Estonia	4397	1555	1113	209	1108	413	699.0	4397	3190.0	2418.0	55628.0	7734.0	487.0	37.2	75,271
118	grid.13797.3b	Åbo Akademi Univ	Åbo Akademi University	Finland	2206	681	347	126	768	284	258.0	2206	1536.0	1020.0	17434.0	2487.0	163.0	33.0	77,799
123	grid.7737.4	Univ Helsinki	University of Helsinki	Finland	19713	9382	4424	634	3240	2034	2754.0	19713	13610.0	15372.0	220636.0	30172.0	1852.0	42.5	79,278
125	grid.9681.6	Univ Jyväskylä	University of Jyväskylä	Finland	4561	1035	650	407	1456	1013	512.0	4561	2972.0	3542.0	32460.0	5341.0	146.0	37.2	77,414
128	grid.10858.34	Univ Oulu	University of Oulu	Finland	6252	2878	848	726	1272	529	769.0	6252	3873.0	4466.0	52219.0	7800.0	479.0	36.8	76,733
131	grid.502801.e	Univ Tampere	University of Tampere	Finland	7133	3569	336	867	1406	956	877.0	7133	4010.0	4443.0	77760.0	11025.0	930.0	36.0	69,31
133	grid.1374.1	Univ Turku	University of Turku	Finland	7760	4289	1056	377	1038	1001	1087.0	7760	5007.0	4817.0	68905.0	10293.0	563.0	41.0	79,025
156	grid.437123.0	Univ Macau	University of Macau	China	5411	1602	250	1457	1250	853	721.0	5411	2060.0	1699.0	50028.0	6674.0	200.0	19.6	79,439
167	grid.412113.4	Univ Kebangsaan Malaysia	Universiti Kebangsaan Malaysia	Malaysia	4855	1404	866	579	1784	223	490.0	4855	2329.0	1983.0	49362.0	6636.0	103.0	30.8	66,341
168	grid.411455.0	Autonomous Univ Nuevo Leon	Autonomous University of Nuevo Leon	Mexico	2180	814	452	146	712	57	146.0	2180	899.0	851.0	11348.0	1594.0	76.0	37.3	70,36
210	grid.1957.a	RWTH Aachen Univ	RWTH Aachen University	Germany	14242	4541	1113	1334	6750	504	1861.0	14242	8047.0	7185.0	146611.0	18415.0	1103.0	20.9	70,396
214	grid.7384.8	Univ Bayreuth	University of Bayreuth	Germany	3325	301	1001	239	1513	271	363.0	3325	1948.0	1550.0	28409.0	3742.0	165.0	23.2	74,731
215	grid.14095.39	Freie Univ Berlin	Freie Universität Berlin	Germany	20174	13157	2640	508	2408	1461	3245.0	20174	12090.0	12034.0	225360.0	31733.0	2038.0	34.4	72,523
216	grid.7468.d	Humboldt Univ Berlin	Humboldt-Universität zu Berlin	Germany	19980	12962	1786	764	2808	1661	3281.0	19980	12220.0	12240.0	232654.0	31892.0	1967.0	33.6	73,432
217	grid.6734.6	Tech Univ Berlin	Technische Universität Berlin	Germany	6691	651	961	1251	3352	477	887.0	6691	3777.0	3555.0	60454.0	8258.0	412.0	20.8	64,711
218	grid.7491.b	Bielefeld Univ	Bielefeld University	Germany	3324	815	683	482	835	509	435.0	3324	1899.0	2018.0	43991.0	6775.0	202.0	27.5	65,796
219	grid.5570.7	Ruhr-Univ Bochum	Ruhr-Universität Bochum	Germany	8835	3674	762	541	3214	645	1155.0	8835	4816.0	4629.0	82841.0	11288.0	640.0	24.9	72,292
220	grid.10388.32	Univ Bonn	University of Bonn	Germany	12238	5623	2184	884	2928	618	1942.0	12238	7921.0	7826.0	143931.0	19100.0	859.0	26.8	76,696
