id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa
1074	Queen's Univ	8062	3734	1083	363	6335	3708
1075	West Univ	13313	6644	1806	688	10150	6289
1076	McGill Univ	25537	11254	4084	1440	20849	13897
1077	Univ Montréal	17236	7445	2269	730	14544	9055
1078	Carleton Univ	4743	1993	593	189	3884	2111
1079	Univ Ottawa	15522	6942	2325	778	12489	7796
1081	Univ Saskatchewan	7919	3891	821	290	6109	3477
1082	Univ Laval	10252	4667	1318	457	8345	5505
1083	Univ Toronto	47429	23454	8083	3226	37102	25563
1084	Univ British Columbia	29882	13143	4821	1700	24661	16147
1085	Univ Victoria	5919	2222	843	238	5102	3392
1086	Univ Waterloo	12156	6134	1669	710	9414	5373
1087	Univ Manitoba	9318	4305	1137	397	7469	4672
1088	Univ Chile	7640	3150	848	270	6709	4284
1091	Chiba Univ	6000	2766	478	139	4829	3123
1092	Kyushu Univ	14463	7008	1261	467	11796	6831
1093	Gifu Univ	2956	1365	198	69	2415	1422
1095	Hiroshima Univ	7772	3667	585	178	6210	4073
1096	Kagoshima Univ	3127	1354	192	53	2603	1567
1097	Kanazawa Univ	4773	2271	366	117	3838	2605
1098	Kobe Univ	7084	3250	581	163	5677	4095
1099	Kumamoto Univ	4222	1897	351	109	3503	2110
1100	Kyoto Univ	25085	11433	2551	903	20649	14091
1101	Nagasaki Univ	3802	1688	264	73	3142	2089
1102	Nagoya Univ	14641	6521	1345	441	12100	7657
1103	Niigata Univ	3749	1577	297	83	3194	1960
1104	Okayama Univ	6146	2828	523	143	4891	3530
1105	Osaka City Univ	3082	1416	203	55	2387	1823
1106	Osaka Univ	18566	8562	1698	623	15200	9873
1107	Hokkaido Univ	13662	6682	1126	407	10990	8096
1108	Tohoku Univ	18348	8736	1688	603	14821	8881
1110	Tokushima Univ	3023	1442	198	65	2397	1504
1111	Keio Univ	8460	3960	785	256	6775	4538
1112	Tokyo Inst Technol	10170	4762	950	339	8065	4847
1113	Tokyo Med & Dent Univ	4448	1917	402	116	3676	2386
1114	Univ Tokyo	34967	14995	3850	1337	29622	20649
1115	Waseda Univ	5321	2317	408	125	4401	2751
1117	Mie Univ	2143	1055	144	52	1576	1043
1118	Univ Tsukuba	9253	3528	869	221	8005	5432
1121	Natl Auto Univ Mexico	17300	8325	1214	417	13974	8106
1122	Univ Auckland	12679	5778	1796	646	10214	5972
