grid_id	dimensions_wos
grid.412087.8	75,959
grid.265850.c	75,948
grid.412135.0	75,935
grid.4817.a	75,874
grid.9909.9	75,856
grid.39381.30	75,852
grid.7107.1	75,821
grid.45907.3f	75,81
grid.7727.5	75,799
grid.9654.e	75,787
grid.168010.e	75,775
grid.5371.0	75,768
grid.33489.35	75,76
grid.273335.3	75,731
grid.10423.34	75,725
grid.1020.3	75,708
grid.11866.38	75,68
grid.9811.1	75,677
grid.39382.33	75,672
grid.254567.7	75,64
grid.11205.37	75,619
grid.503422.2	75,619
grid.9024.f	75,614
grid.9435.b	75,606
grid.25879.31	75,599
grid.1004.5	75,571
grid.6868.0	75,548
grid.8954.0	75,539
grid.10919.30	75,538
grid.11166.31	75,507
grid.429997.8	75,454
grid.18098.38	75,427
grid.12026.37	75,42
grid.411838.7	75,412
grid.6292.f	75,409
grid.21613.37	75,402
grid.412041.2	75,395
grid.5475.3	75,377
grid.5037.1	75,357
grid.9983.b	75,325
grid.412502.0	75,318
grid.12082.39	75,277
grid.158820.6	75,275
grid.10939.32	75,271
grid.255166.3	75,269
grid.8217.c	75,246
grid.472472.0	75,241
grid.214458.e	75,237
grid.8302.9	75,205
grid.9563.9	75,196
grid.411976.c	75,177
grid.8379.5	75,172
grid.59062.38	75,169
grid.268441.d	75,168
grid.1026.5	75,154
grid.260539.b	75,134
grid.47840.3f	75,123
grid.255986.5	75,075
grid.7763.5	75,072
grid.261331.4	75,068
grid.24434.35	75,067
grid.21729.3f	75,054
grid.11780.3f	75,052
grid.410804.9	75,044
grid.169077.e	75,03
grid.440736.2	75,019
grid.7080.f	75,016
grid.164274.2	75,012
grid.9851.5	75,003
grid.4563.4	74,996
grid.254444.7	74,988
grid.488643.5	74,982
grid.55602.34	74,909
grid.411894.1	74,888
grid.12832.3a	74,854
grid.25769.3f	74,853
grid.412674.2	74,837
grid.27736.37	74,813
grid.24827.3b	74,808
grid.5802.f	74,792
grid.46078.3d	74,791
grid.1021.2	74,784
grid.261112.7	74,774
grid.1029.a	74,772
grid.7384.8	74,731
grid.266093.8	74,728
grid.170205.1	74,727
grid.5949.1	74,698
grid.21507.31	74,68
grid.412144.6	74,655
grid.38575.3c	74,639
grid.9918.9	74,626
grid.411484.c	74,625
grid.7005.2	74,61
grid.64939.31	74,608
grid.6935.9	74,597
grid.86715.3d	74,591
grid.266813.8	74,578
grid.8647.d	74,576
grid.7010.6	74,575
grid.21006.35	74,572
grid.131063.6	74,557
grid.6190.e	74,54
grid.410511.0	74,446
grid.152326.1	74,441
grid.43555.32	74,419
grid.411612.1	74,417
grid.412436.6	74,388
grid.1038.a	74,385
grid.7892.4	74,375
grid.9481.4	74,364
grid.34421.30	74,315
grid.185648.6	74,304
grid.11696.39	74,294
grid.18048.35	74,273
grid.59025.3b	74,273
grid.254187.d	74,251
grid.5947.f	74,242
grid.34980.36	74,203
grid.7922.e	74,194
grid.9647.c	74,141
grid.7728.a	74,109
grid.4466.0	74,089
grid.266190.a	74,087
grid.57926.3f	74,063
grid.89336.37	74,055
grid.17088.36	74,054
grid.4305.2	74,048
grid.45982.32	74,031
grid.9601.e	73,993
grid.6142.1	73,958
grid.265073.5	73,941
grid.24696.3f	73,94
grid.4488.0	73,933
grid.28046.38	73,926
grid.6852.9	73,925
grid.7872.a	73,906
grid.263864.d	73,906
grid.450307.5	73,905
grid.6835.8	73,904
grid.411320.5	73,873
grid.430387.b	73,855
grid.6214.1	73,845
grid.1035.7	73,821
grid.7836.a	73,808
grid.8534.a	73,806
grid.67105.35	73,802
grid.5808.5	73,787
grid.11951.3d	73,779
grid.183446.c	73,762
grid.257413.6	73,756
grid.13394.3c	73,746
grid.417984.7	73,743
grid.460782.f	73,738
grid.410356.5	73,732
grid.215352.2	73,727
grid.1022.1	73,722
grid.5288.7	73,716
grid.417969.4	73,702
grid.16477.33	73,693
grid.20431.34	73,649
grid.6571.5	73,644
grid.10692.3c	73,644
grid.22072.35	73,638
grid.64337.35	73,625
grid.223827.e	73,609
grid.10772.33	73,585
grid.411461.7	73,563
grid.135963.b	73,54
grid.8756.c	73,534
grid.252890.4	73,475
grid.262962.b	73,457
grid.6926.b	73,438
grid.7130.5	73,432
grid.7468.d	73,432
grid.61971.38	73,371
grid.411901.c	73,369
grid.8509.4	73,351
grid.268433.8	73,342
grid.411750.6	73,331
grid.9757.c	73,319
grid.266832.b	73,304
grid.15276.37	73,298
grid.440722.7	73,282
grid.8241.f	73,28
grid.6963.a	73,246
grid.117476.2	73,245
grid.224260.0	73,19
grid.36567.31	73,179
grid.10253.35	73,141
grid.4241.3	73,071
grid.33647.35	73,055
grid.157927.f	73,044
grid.260896.3	73,023
grid.35403.31	73,015
grid.241167.7	72,997
grid.29857.31	72,993
grid.10420.37	72,974
grid.26790.3a	72,971
grid.4793.9	72,962
grid.7220.7	72,958
grid.266820.8	72,934
grid.412368.a	72,932
grid.411049.9	72,917
grid.265008.9	72,882
grid.259029.5	72,864
grid.7821.c	72,852
grid.10223.32	72,731
grid.7399.4	72,727
grid.411269.9	72,708
grid.265881.0	72,699
grid.4425.7	72,691
grid.429017.9	72,683
grid.254549.b	72,683
grid.412091.f	72,675
grid.9786.0	72,63
grid.5373.2	72,623
grid.259979.9	72,612
grid.266518.e	72,602
grid.65519.3e	72,6
grid.411105.0	72,573
grid.6312.6	72,561
grid.11956.3a	72,554
grid.256304.6	72,543
grid.1019.9	72,528
grid.14095.39	72,523
grid.411677.2	72,513
grid.11918.30	72,465
grid.411277.6	72,419
grid.420190.e	72,412
grid.266539.d	72,389
grid.266515.3	72,329
grid.6936.a	72,325
grid.5570.7	72,292
grid.265025.6	72,279
grid.266436.3	72,221
grid.252546.2	72,218
grid.65456.34	72,203
grid.7132.7	72,203
grid.10049.3c	72,188
grid.417972.e	72,176
grid.264727.2	72,175
grid.63054.34	72,171
grid.412607.6	72,169
grid.12284.3d	72,158
grid.134936.a	72,143
grid.12574.35	72,134
grid.410558.d	72,13
grid.11318.3a	72,125
grid.413021.5	72,087
grid.176731.5	72,079
grid.9224.d	72,032
grid.11047.33	72,025
grid.266456.5	72,013
grid.6979.1	72,003
grid.8393.1	71,993
grid.12799.34	71,964
grid.5330.5	71,949
grid.9612.c	71,9
grid.8051.c	71,892
grid.267468.9	71,881
grid.42505.36	71,879
grid.28479.30	71,861
grid.5268.9	71,834
grid.25055.37	71,793
grid.265219.b	71,782
grid.134563.6	71,78
grid.5338.d	71,774
grid.263081.e	71,669
grid.8505.8	71,663
grid.40803.3f	71,647
grid.417965.8	71,612
