id	university	established_year
2430	Natl Chung Hsing Univ	1919
2431	Kaohsiung Med Univ	1954
2434	Natl Taiwan Univ Sci & Technol	1974
2435	Indian Inst Sci	1909
2436	Indian Inst Technol Bombay	1958
2438	Manipal Acad High Educ	1953
2440	Vellore Inst Technol	1984
2441	Indian Inst Technol Kharagpur	1951
2443	All India Inst Med Sci	1956
2445	Indian Inst Technol Madras	1959
2446	Indian Inst Technol Delhi	1961
2448	Banaras Hindu Univ	1916
2451	Indian Inst Technol Kanpur	1959
2452	Univ Delhi	1922
2454	Jadavpur Univ	1955
2455	Postgrad Inst Med Educ & Res	1962
2458	Panjab Univ	1882
2460	Aligarh Muslim Univ	1875
2461	Univ Calcutta	1857
2462	Anna Univ	1978
2463	Univ Hyderabad	1974
2466	Indian Inst Technol Roorkee	1847
2470	Annamalai Univ	1929
2472	Jawaharlal Nehru Univ	1969
2475	Indian Stat Inst	1931
2478	Guru Nanak Dev Univ	1969
2489	Bharathiar Univ	1982
2490	Jamia Millia Islamia	1920
2491	Savitribai Phule Pune Univ	1948
2499	Indian Inst Technol Guwahati	1994
2515	Pondicherry Univ	1985
2525	Mahidol Univ	1943
2529	Chiang Mai Univ	1964
2531	Chulalongkorn Univ	1917
2533	Khon Kaen Univ	1966
2535	Prince Songkla Univ	1967
2537	Kasetsart Univ	1943
2546	Univ Paris-Est Créteil Val de Marne	1971
2578	Univ Sorbonne Paris Nord	1970
2580	Univ Versailles Saint-Quentin-en-Yvelines	1991
2594	Univ Tours	1969
2596	Univ Nantes	1460
2604	Univ Caen Normandy	1432
2621	Univ Poitiers	1431
2625	Univ Rennes 1	1970
2630	Univ Rouen	1966
2634	Univ Strasbourg	1538
2638	Univ Toulouse III - Paul Sabatier	1229
2641	Aix-Marseille Univ	1409
2660	Univ Angers	1356
2662	Claude Bernard Lyon 1 Univ	1971
2683	Univ West Brittany	1971
2701	Univ Lorraine	1572
2703	Univ Orléans	1960
2779	Inst Natl Polytech Toulouse	1969
2812	Univ Waikato	1964
2856	Chung-Ang Univ	1918
2874	Natl Res Tomsk Polytech Univ	1896
2881	Moscow Inst Phys & Technol	1946
2943	Swinburne Univ Technol	1908
2944	Univ Canberra	1967
2945	West Sydney Univ	1989
3327	Soochow Univ	1900
3328	Univ Electron Sci & Technol China	1956
3329	Capital Med Univ	1960
3330	Air Force Med Univ	1941
3331	Chongqing Univ	1929
3332	Beijing Univ Chem Technol	1958
3333	Second Mil Med Univ	1949
3334	Beijing Inst Technol	1940
