id	university	grid_id
1212	Univ Arkansas - Fayetteville	grid.411017.2
1213	Colorado State Univ	grid.47894.36
1214	Univ Florida	grid.15276.37
1215	Univ Texas - Med Branch - Galveston	grid.176731.5
1216	Dartmouth Coll	grid.254880.3
1218	Univ Hawaii - Manoa	grid.410445.0
1219	Baylor Coll Med	grid.39382.33
1220	Rice Univ	grid.21940.3e
1221	Univ Houston - Houston	grid.266436.3
1222	Univ Texas - Hlth Sci Ctr - Houston	grid.267308.8
1223	Indiana Univ - Purdue Univ Indianapolis	grid.257413.6
1224	Univ Iowa	grid.214572.7
1225	Univ California - Irvine	grid.266093.8
1226	Cornell Univ	grid.5386.8
1228	Univ Tennessee - Knoxville	grid.411461.7
1230	Purdue Univ - W Lafayette	grid.169077.e
1231	Michigan State Univ	grid.17088.36
1232	Univ Kansas	grid.266515.3
1233	Univ Kentucky	grid.266539.d
1234	Univ Nebraska - Lincoln	grid.24434.35
1235	Univ Arkansas Med Sci - Little Rock	grid.241054.6
1237	Univ California - Los Angeles	grid.19006.3e
1238	Univ South California	grid.42505.36
1239	Univ Louisville	grid.266623.5
1240	Texas Tech Univ	grid.264784.b
1241	Univ Wisconsin - Madison	grid.14003.36
1242	Kansas State Univ	grid.36567.31
1243	Loyola Univ Chicago	grid.164971.c
1245	Univ Miami	grid.26790.3a
1246	Med Coll Wisconsin	grid.30760.32
1247	Univ Minnesota - Twin Cities	grid.17635.36
1248	W Virginia Univ	grid.268154.c
1249	Vanderbilt Univ	grid.152326.1
1251	Yale Univ	grid.47100.32
1253	Tulane Univ	grid.265219.b
1255	Columbia Univ	grid.21729.3f
1258	Icahn Sch Med - Mt Sinai	
1260	NYU	grid.137628.9
1261	Rockefeller Univ	grid.134907.8
1262	Yeshiva Univ	grid.268433.8
1263	Univ Delaware	grid.33489.35
1265	Univ Oklahoma	grid.266900.b
1266	Univ Notre Dame	grid.131063.6
1269	Caltech	grid.20861.3d
1270	Temple Univ	grid.264727.2
1271	Thomas Jefferson Univ	grid.265008.9
1272	Univ Penn	grid.25879.31
1274	Carnegie Mellon Univ	grid.147455.6
1274	Carnegie Mellon Univ	grid.508475.b
1275	Univ Pittsburgh	grid.21925.3d
1276	Oregon Hlth & Sci Univ	grid.5288.7
