Country	impact_P	impact_P_Bio_Health	impact_P_Life_Earth	impact_P_Math_Comp	impact_P_Phy_Eng	impact_P_Soc_Hum	P_top10	collab_P	P_int_collab	P_OA	TCS	TNCS	P_industry_collab	PA_F_MF	dimensions_wos	langlinks	total_views	local_views	int_views	rest_views	editors	revisions	words	unique_references	minor_edits	characters	sections	references	topic_specialisation	topic_specialisation_bio	topic_specialisation_eng	gini_production	established_year	age	Universities
Norway	8669.0	3910.67	1737.17	513.0	1558.83	950.0	1255.17	8669.0	5704.17	5939.0	86809.0	13019.33	558.17	34.78	23.57	32.83	523379.83	86968.33	257662.67	178748.83	983.17	1984.17	9533.67	185.5	892.67	82697.83	171.67	200.0	0.33	0.33	0.0	0.38	1930.83	91.17	6
Oman	1986.0	406.0	581.0	173.0	646.0	179.0	237.0	1986.0	1578.0	609.0	13429.0	2061.0	40.0	17.5	37.77	16.0	335548.0	156191.0	150259.0	29098.0	318.0	571.0	2934.0	51.0	232.0	27011.0	62.0	63.0	0.0	0.0	0.0	0.27	1986.0	36.0	1
Pakistan	3025.8	567.2	702.2	469.8	1200.4	86.8	253.0	3025.8	1780.8	1004.0	18964.0	2660.2	36.0	25.58	23.51	11.0	310983.6	294565.0	290151.2	16418.6	578.4	1330.6	2994.4	49.8	297.6	29811.0	55.0	70.6	0.0	0.0	0.0	0.44	1946.0	76.0	5
Poland	3139.29	1160.81	570.97	238.1	1069.19	100.74	244.06	3139.29	1205.1	1681.06	20463.65	3008.39	99.06	44.81	24.67	18.29	334222.16	171856.35	80605.74	81760.06	587.1	1125.55	6841.97	78.97	440.74	64132.32	112.94	91.94	0.61	0.26	0.35	0.53	1905.32	116.68	31
Portugal	9806.17	2978.33	2006.17	835.33	3260.0	726.67	1159.83	9806.17	5996.17	5025.83	84471.67	12087.67	418.5	45.3	26.73	26.33	531359.83	200181.17	146990.5	184188.17	764.83	1473.5	8623.17	105.67	530.0	69879.67	126.83	128.0	0.0	0.0	0.0	0.32	1838.5	183.5	6
Qatar	3963.0	895.0	420.0	855.0	1458.0	336.0	479.0	3963.0	3285.0	1568.0	34574.0	4838.0	147.0	17.8	31.66	22.0	471007.0	169706.0	241050.0	60251.0	475.0	927.0	8212.0	127.0	353.0	74948.0	102.0	136.0	0.0	0.0	0.0	0.27	1973.0	49.0	1
Romania	2282.33	284.33	338.0	366.67	1139.33	154.67	206.33	2282.33	1288.67	983.33	13534.33	2132.33	78.33	47.17	34.52	30.67	409359.0	155727.67	141861.67	111769.67	745.0	1670.67	9572.67	118.0	657.0	82676.33	134.33	154.33	0.33	0.0	0.33	0.38	1895.67	126.33	3
Russia	5009.7	641.8	486.5	382.2	3346.1	153.4	400.8	5009.7	3017.4	2428.1	34989.9	4838.4	129.9	21.06	29.96	35.5	1378703.2	772638.6	306399.3	299665.3	1382.1	2995.3	16569.0	293.2	1157.7	183773.5	208.8	343.9	0.9	0.0	0.9	0.57	1883.8	138.2	10
Saudi Arabia	8633.2	1864.4	1347.8	1429.6	3820.8	170.8	1149.8	8633.2	6956.4	3781.6	99846.4	11219.0	292.6	9.84	21.0	18.8	904776.2	427324.0	356424.8	121027.4	743.2	1599.4	6380.2	130.6	454.0	56959.0	112.6	147.0	0.6	0.0	0.6	0.46	1978.8	43.2	5
Serbia	5558.33	1723.0	1039.33	650.33	1879.67	266.67	412.33	5558.33	2823.0	2420.0	36218.33	5568.67	153.33	49.17	29.06	29.0	267700.0	50228.33	108870.67	108601.0	632.33	1367.67	10029.0	170.67	689.67	95386.0	157.0	220.67	0.0	0.0	0.0	0.27	1911.0	111.0	3
Singapore	16915.0	4867.67	1534.0	2723.33	6505.67	1285.0	2890.0	16915.0	11888.33	6909.67	228036.33	25744.67	847.0	22.3	26.37	28.67	1650747.0	1287873.33	962002.0	362873.67	1281.0	2918.33	11221.0	222.33	934.33	108677.0	189.33	243.33	0.0	0.0	0.0	0.4	1968.33	53.67	3
Slovakia	3225.5	1014.0	485.0	286.0	1361.0	80.0	265.0	3225.5	2044.5	1567.0	19571.0	3038.0	319.5	32.95	32.88	25.0	250909.5	54874.0	76772.0	119263.5	543.5	932.5	7067.0	61.0	464.0	62323.5	108.0	78.5	0.5	0.0	0.5	0.45	1928.0	94.0	2
Slovenia	5045.0	1411.0	705.5	722.5	1780.5	426.0	556.0	5045.0	2844.0	2673.0	39579.0	5868.5	273.5	35.35	24.94	36.0	497239.5	36312.5	245122.0	215805.0	642.0	1161.5	7473.5	111.0	618.0	67245.5	147.5	128.0	0.0	0.0	0.0	0.28	1947.0	75.0	2
South Africa	5633.22	1946.78	1521.11	292.0	1261.0	612.67	662.89	5633.22	3744.56	3165.67	51225.89	7889.78	248.44	32.9	28.96	23.78	642694.33	546334.89	539983.78	96359.44	607.78	1440.11	7763.11	163.56	430.22	62539.33	118.0	203.33	0.0	0.0	0.0	0.33	1933.11	88.89	9
South Korea	6492.7	2728.93	597.07	675.2	2231.59	260.17	532.02	6492.7	1956.24	2794.59	50297.93	6163.13	433.83	18.23	18.37	12.59	614729.48	121928.0	248131.22	244670.26	589.0	1549.67	4874.09	78.0	412.22	49348.91	97.83	97.89	0.39	0.24	0.15	0.46	1935.41	86.59	46
Spain	5305.1	1763.5	980.55	583.64	1478.6	499.48	608.9	5305.1	2921.93	3014.4	45215.21	6415.81	265.48	36.05	26.74	21.67	449290.74	245805.05	116310.5	87175.19	645.52	1346.1	7081.86	92.62	476.07	56785.4	119.19	106.36	0.14	0.12	0.02	0.3	1802.71	219.29	42
Sweden	11142.75	5318.58	1619.75	630.58	2540.83	1033.42	1651.75	11142.75	7558.33	7303.5	118882.33	16361.92	1013.33	33.19	20.66	38.58	738643.75	132864.25	330566.25	275213.25	1215.92	2410.5	11075.83	183.25	1023.0	103532.75	201.08	225.33	0.58	0.33	0.25	0.47	1858.33	163.67	12
Switzerland	14224.62	6472.75	2287.75	820.75	3611.62	1032.0	2538.5	14224.62	10325.12	9938.25	176456.0	23564.75	1143.75	28.14	22.28	47.38	1330702.75	346287.88	549916.0	434498.88	1763.75	3518.12	13631.0	268.75	1505.12	119206.25	256.62	309.25	0.75	0.62	0.12	0.45	1727.5	294.5	8
Taiwan	5128.38	2315.81	473.71	586.33	1489.76	263.05	408.19	5128.38	1754.33	2341.86	37272.38	4850.33	210.76	24.81	17.91	13.14	732381.9	570572.1	99502.33	62307.48	840.9	2151.9	2621.71	101.19	477.95	34273.33	93.9	113.43	0.57	0.33	0.24	0.46	1943.33	78.67	21
Thailand	4326.83	2008.33	1010.0	140.33	1041.33	127.17	335.33	4326.83	2231.83	1829.67	26860.67	3929.0	165.5	46.5	27.77	16.83	1117272.17	758148.67	202313.17	156810.33	827.5	2420.33	6251.33	211.67	675.5	124903.17	131.0	246.33	0.17	0.17	0.0	0.45	1950.0	72.0	6
Tunisia	3741.67	706.33	769.33	662.33	1521.33	82.67	216.0	3741.67	2312.67	917.67	18142.0	2840.67	47.33	41.67	27.54	8.0	92323.67	65512.33	26049.33	762.0	120.67	234.0	996.33	35.0	115.0	7624.33	34.0	47.33	0.33	0.0	0.33	0.34	1996.67	25.33	3
Turkey	2702.62	1092.38	373.5	238.78	870.5	127.88	185.78	2702.62	819.28	970.5	14982.56	2270.44	59.31	34.72	23.97	14.53	395233.91	201000.78	114498.28	79734.84	572.25	1219.91	4519.75	90.72	359.34	41201.19	82.72	117.88	0.31	0.19	0.12	0.43	1943.25	78.75	32
Uganda	2701.0	1738.0	635.0	45.0	58.0	226.0	260.0	2701.0	2329.0	2132.0	18358.0	3038.0	113.0	30.8	32.85	28.0	488259.0	381862.0	373420.0	106397.0	738.0	1457.0	4692.0	132.0	413.0	40146.0	122.0	162.0	1.0	1.0	0.0	0.59	1922.0	100.0	1
United Arab Emirates	2605.5	473.0	320.0	512.5	1153.5	147.0	301.5	2605.5	1974.0	985.0	23218.5	3094.0	120.5	18.55	31.52	10.5	294155.0	90609.0	184754.5	18791.5	290.0	745.5	1948.0	77.5	243.5	15822.5	49.5	95.0	0.5	0.0	0.5	0.38	1991.0	31.0	2
United Kingdom	9448.3	3756.87	1272.03	715.21	2408.3	1296.13	1679.28	9448.3	6180.25	8049.08	112179.05	15694.75	708.92	31.59	26.18	37.46	1987509.31	1244018.77	1242904.74	743490.54	1867.51	4350.57	16608.28	395.49	1459.52	157401.72	204.52	474.84	0.13	0.11	0.02	0.33	1860.18	161.82	61
United States	10694.88	5273.64	1446.28	651.76	2132.71	1190.94	1796.38	10694.88	4621.6	6722.96	124465.76	16787.34	806.5	33.34	26.91	31.24	2688009.98	1979702.38	1979702.38	708307.61	2067.8	4906.31	14626.46	363.56	1537.02	133647.34	172.96	426.6	0.39	0.36	0.02	0.4	1874.68	147.32	200
Uruguay	3125.0	988.0	1198.0	242.0	541.0	156.0	262.0	3125.0	2203.0	1340.0	24523.0	3714.0	104.0	43.0	29.39	25.0	312952.0	199503.0	67385.0	46064.0	551.0	1189.0	5453.0	64.0	451.0	41496.0	121.0	69.0	0.0	0.0	0.0	0.36	1849.0	173.0	1
Viet Nam	3935.0	350.0	423.0	933.0	2102.0	127.0	586.0	3935.0	3223.0	1267.0	27666.0	5108.0	72.0	9.7	12.55	5.0	415058.0	386161.0	27161.0	1736.0	275.0	727.0	3977.0	65.0	150.0	25802.0	45.0	81.0	1.0	0.0	1.0	0.46	1997.0	25.0	1
